observable,time,time_units,average,stderr,amount_units,expt_id,alt_expt_id
Her2_2_p,7200,s,1.012092081,0.101209208,a.u.,A,C33_LNAcP_DHT_10nM
Her2_2_p,14400,s,0.99904625,0.099904625,a.u.,A,C33_LNAcP_DHT_10nM
Her2_2_p,25200,s,0.801477336,0.080147734,a.u.,A,C33_LNAcP_DHT_10nM
Her2_2_p,46800,s,0.903892081,0.090389208,a.u.,A,C33_LNAcP_DHT_10nM
Her2_2_p,90000,s,0.898546109,0.089854611,a.u.,A,C33_LNAcP_DHT_10nM
Her2_2_p,176400,s,3.298402957,0.329840296,a.u.,A,C33_LNAcP_DHT_10nM
cPAcP_obs,7200,s,1.042116555,0.104211656,a.u.,A,C33_LNAcP_DHT_10nM
cPAcP_obs,14400,s,0.814610194,0.081461019,a.u.,A,C33_LNAcP_DHT_10nM
cPAcP_obs,25200,s,0.895844113,0.089584411,a.u.,A,C33_LNAcP_DHT_10nM
cPAcP_obs,46800,s,0.71516267,0.071516267,a.u.,A,C33_LNAcP_DHT_10nM
cPAcP_obs,90000,s,0.388125902,0.03881259,a.u.,A,C33_LNAcP_DHT_10nM
cPAcP_obs,176400,s,0.184427768,0.018442777,a.u.,A,C33_LNAcP_DHT_10nM
PSA_obs,7200,s,1.025316456,0.102531646,a.u.,A,C33_LNAcP_DHT_10nM
PSA_obs,14400,s,1.063291139,0.106329114,a.u.,A,C33_LNAcP_DHT_10nM
PSA_obs,25200,s,3.987341772,0.398734177,a.u.,A,C33_LNAcP_DHT_10nM
PSA_obs,46800,s,8.46835443,0.846835443,a.u.,A,C33_LNAcP_DHT_10nM
PSA_obs,90000,s,17.96202532,1.796202532,a.u.,A,C33_LNAcP_DHT_10nM
PSA_obs,176400,s,24,2.4,a.u.,A,C33_LNAcP_DHT_10nM
